app,l,snippets,eloc,#covered_snippets,covered_eloc,#retrieved_clones,snippets_coverage,eloc_coverage,avg_clones_per_covered_snippet
NightSight,15,116,955,63,445,547,0.543103448,0.465968586,8.682539683
banya,15,1152,9765,574,4584,11021,0.498263889,0.469431644,19.20034843
10-bitClockWidget,15,55,602,28,302,321,0.509090909,0.50166113,11.46428571
FORMWatchFace,18,669,12150,78,653,396,0.116591928,0.053744856,5.076923077
openshop.io-android,18,2645,37368,601,5135,8200,0.227221172,0.137417041,13.64392679
Git.NB,18,2870,31646,780,6503,8536,0.271777003,0.205492005,10.94358974
Travel-Mate,18,1463,21050,502,4366,10503,0.343130554,0.207410926,20.92231076
android_tv_metro,18,1442,16100,464,3386,3181,0.321775312,0.210310559,6.855603448
hubble_gallery,18,749,7235,266,1914,2624,0.355140187,0.264547339,9.864661654
memory-game,18,435,2583,161,695,2074,0.370114943,0.269066976,12.88198758
36krReader,18,926,10501,356,3021,8180,0.384449244,0.287686887,22.97752809
VideoFly,18,416,4310,158,1578,1739,0.379807692,0.36612529,11.00632911
coins-android,18,58,600,29,241,785,0.5,0.401666667,27.06896552
github-status,18,296,2460,107,989,1493,0.361486486,0.40203252,13.95327103
CarbonContacts,18,178,3192,67,1306,1924,0.376404494,0.40914787,28.71641791
SoundRecorder,18,246,2657,121,1126,2584,0.491869919,0.423786225,21.3553719
NightSight,18,111,952,59,411,521,0.531531532,0.431722689,8.830508475
banya,18,1113,9609,559,4488,10843,0.502246181,0.467062129,19.39713775
10-bitClockWidget,18,53,630,28,302,321,0.528301887,0.479365079,11.46428571
FORMWatchFace,21,619,11827,71,558,386,0.114701131,0.047180181,5.436619718
openshop.io-android,21,2520,36460,570,4767,7932,0.226190476,0.130746023,13.91578947
Git.NB,21,2761,31368,754,6265,8308,0.27308946,0.199725835,11.01856764
Travel-Mate,21,1373,20304,467,4075,9931,0.3401311,0.20069937,21.26552463
android_tv_metro,21,1390,15561,452,3246,3154,0.325179856,0.208598419,6.977876106
hubble_gallery,21,721,7133,251,1794,2423,0.348127601,0.25150708,9.653386454
memory-game,21,425,2548,156,643,2051,0.367058824,0.252354788,13.1474359
36krReader,21,889,10072,344,2893,7917,0.386951631,0.28723193,23.01453488
VideoFly,21,397,4220,152,1543,1648,0.382871537,0.36563981,10.84210526
coins-android,21,51,537,26,206,765,0.509803922,0.383612663,29.42307692
NightSight,21,109,960,56,374,469,0.513761468,0.389583333,8.375
CarbonContacts,21,169,3139,63,1254,1772,0.372781065,0.399490284,28.12698413
SoundRecorder,21,233,2462,114,1016,2448,0.489270386,0.412672624,21.47368421
10-bitClockWidget,21,54,687,27,286,318,0.5,0.416302766,11.77777778
github-status,21,281,2290,104,955,1557,0.370106762,0.417030568,14.97115385
banya,21,1093,9652,557,4576,10861,0.509606587,0.474098632,19.49910233
